Source title,CiteScore,Highest percentile,2016-19 Citations,2016-19 Documents,% Cited,SNIP,SJR,Publisher
Nature,51.0,"99.0%
1/111
",243894.0,4786.0,83.0,8.594,14.047,Springer Nature
Applied Physics Reviews,19.0,"96.0%
8/224
General Physics and Astronomy",3887.0,205.0,80.0,5.146,3.983,American Institute of Physics
Physical Review Letters,15.6,"95.0%
10/224
General Physics and Astronomy",161152.0,10318.0,88.0,2.501,3.588,American Physical Society
Applied Physics Letters,7.0,"91.0%
5/54
Physics and Astronomy (miscellaneous)",69415.0,9970.0,83.0,1.256,1.343,American Institute of Physics
Physical Review A,5.3,"78.0%
40/183
Atomic and Molecular Physics, and Optics",55426.0,10494.0,78.0,0.946,1.416,American Physical Society
Applied Physics Express,4.7,"89.0%
31/299
General Engineering",7961.0,1692.0,73.0,1.231,0.959,Japan Society of Applied Physics
Journal of Applied Physics,4.2,"77.0%
52/224
General Physics and Astronomy",35933.0,8603.0,75.0,0.991,0.728,American Institute of Physics
Physics of Plasmas,3.6,"64.0%
145/403
Condensed Matter Physics",17952.0,4973.0,75.0,0.944,0.732,American Institute of Physics
